시세(하한),시세(상한),시세,건설업체,지하철,건축년도,평수,연령,지하철1개 노선,지하철 2개노선,대기업더미,단지규모
16000,17000,16500,SH,0,1980,22,20,0,0,0,424
17500,18500,18000,SH,0,1980,24,20,0,0,0,424
18000,19000,18500,SH,0,1980,25,20,0,0,0,424
24000,27000,25500,SH,0,1980,31,20,0,0,0,424
28000,29000,28500,SH,0,1980,35,20,0,0,0,424
37000,38000,37500,SH,0,1980,41,20,0,0,0,424
9200,9800,9500,CPC,0,1992,14,8,0,0,0,1753
11000,12000,11500,CPC,0,1992,17,8,0,0,0,1753
14700,16000,15350,CPC,0,1992,21,8,0,0,0,1753
8750,9250,9000,DB,0,1993,18,7,0,0,0,2934
11750,12750,12250,DB,0,1993,22,7,0,0,0,2934
13750,15000,14375,DB,0,1993,26,7,0,0,0,2934
25000,27000,26000,DW,1,1993,27,7,1,0,0,496
31000,35000,33000,DW,1,1993,31,7,1,0,0,496
11000,12000,11500,CPC,1,1992,18,8,1,0,0,822
14700,16000,15350,CPC,1,1992,22,8,1,0,0,822
19000,20000,19500,CPC,1,1992,26,8,1,0,0,822
40000,50000,45000,GJ,1,1993,37,7,1,0,0,560
58000,70000,64000,GJ,1,1993,48,7,1,0,0,560
21500,27000,24250,DW,1,1993,27,7,1,0,0,740
30000,37000,33500,DW,1,1993,31,7,1,0,0,740
37000,47000,42000,HD,1,1993,36,7,1,0,1,628
49000,55000,52000,HD,1,1993,41,7,1,0,1,628
57000,66000,61500,HD,1,1993,48,7,1,0,1,628
78000,83000,80500,HD,1,1993,54,7,1,0,1,628
19000,22000,20500,SS,1,1994,25,6,1,0,1,930
31000,36000,33500,SS,1,1994,31,6,1,0,1,930
21000,23000,22000,GY,0,1993,23,7,0,0,0,570
31000,40000,35500,GY,0,1993,30,7,0,0,0,570
25000,29000,27000,SI,1,1994,38,6,1,0,0,240
25000,27000,26000,SI,1,1980,36,20,1,0,0,888
44000,46000,45000,SI,1,1980,46,20,1,0,0,888
50000,57000,53500,SI,1,1980,54,20,1,0,0,888
25000,28000,26500,SDA,1,1997,38,3,1,0,0,106
26000,30000,28000,CG,0,1997,38,3,0,0,0,116
15000,16000,15500,HY,1,1982,18,18,1,0,0,647
24000,25000,24500,HY,1,1982,29,18,1,0,0,647
26000,27000,26500,HY,1,1982,32,18,1,0,0,647
21000,22000,21500,HD,0,1999,27,1,0,0,1,317
32000,35000,33500,HD,0,1999,32,1,0,0,1,317
45000,57000,51000,HD,0,1999,47,1,0,0,1,317
